epoch,optimization_loss,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_seconds
1,1.6894853014273776,1.6331554622226292,0.4287111111111111,1.6799396757125855,0.4124,13.096985099997255
2,1.5256790999213854,1.4556660634146796,0.48795555555555553,1.5347953569412232,0.4572,15.49551629999769
3,1.4510939219527774,1.4897202300389607,0.4728222222222222,1.594306925392151,0.4352,14.87928130000364
4,1.3985639698896144,1.3424317299313016,0.5286222222222222,1.4768332862854003,0.4742,15.068442100004177
5,1.3643006785670917,1.3905198042763605,0.5123777777777778,1.539124425506592,0.469,15.148075599994627
6,1.3359649833785163,1.5021965353647868,0.4864,1.669407737159729,0.4386,15.45716830001038
7,1.3083240115298165,1.3692583779229057,0.5185333333333333,1.5832154899597168,0.4574,15.192962499990244
8,1.2883074456890424,1.2294821997324625,0.5744888888888889,1.4678355953216553,0.4962,15.728317500004778
9,1.2682244505153761,1.2426513779322306,0.5528666666666666,1.4764009805679321,0.4794,15.201293799997075
10,1.2515633900377485,1.3019181157641941,0.5453333333333333,1.5858125272750854,0.468,15.264048699988052
11,1.2402311830335193,1.28056260954539,0.5589777777777778,1.5723808975219726,0.4766,15.327249800000573
12,1.2219972397327423,1.242147740512424,0.5649333333333333,1.527144877052307,0.4926,15.53442019999784
13,1.2087115497959984,1.616644681485494,0.4508,1.9682525890350342,0.3896,15.449730000007548
14,1.1964133478005727,1.0744261185540094,0.6277555555555555,1.4300842880249023,0.506,15.23944350000238
15,1.1868630462739203,1.1592325011359321,0.6007555555555556,1.5195062780380248,0.4912,15.701474000001326
16,1.1733731257094278,1.1010124820285374,0.6124888888888889,1.4760054405212402,0.5014,16.295415100001264
17,1.162981765698062,1.6299084969414606,0.48735555555555554,2.0342062265396117,0.4086,16.115680900009465
18,1.1487835505180888,1.103169234530131,0.6142666666666666,1.548947239112854,0.4836,16.11473409998871
19,1.1398058058314853,1.3422203780068291,0.532,1.8090328134536744,0.4354,15.346050400010427
20,1.137001639160845,1.5649358694500393,0.5041333333333333,2.0248350006103517,0.4134,15.72836069999903
21,1.1242594042513105,1.1378474013434516,0.6038444444444444,1.6610368518829346,0.4808,15.290783100004774
22,1.1164142060279847,1.4616072203530206,0.5271111111111111,1.9616254915237428,0.4264,15.537805899992236
23,1.113023939400249,1.1362420779334175,0.6068444444444444,1.6279669160842896,0.4864,15.64655999999377
24,1.10784882871045,1.1267594249089559,0.6063333333333333,1.6579804664611817,0.48,15.165808800011291
25,1.094632860967848,1.1903353675206503,0.5801555555555555,1.7348972372055054,0.4582,15.343128499996965
26,1.0903039803134071,1.175890743192037,0.5939111111111111,1.7710354623794555,0.4474,15.549038400000427
27,1.0859675487968656,1.2112461910247803,0.5925777777777778,1.8165733964920043,0.4586,15.571036199995433
28,1.0690737660249074,1.3138950752046372,0.5567333333333333,1.8820773445129395,0.4388,15.713736299992888
29,1.0712066002024545,1.2581455401950412,0.5760222222222222,1.864761417388916,0.4484,15.549759300003643
30,1.0695444957203335,1.2421492678960164,0.5795333333333333,1.900863985824585,0.4496,15.741392899988568
31,1.061890568145116,1.1391057882732816,0.6109555555555556,1.8043641832351685,0.4748,15.48148860000947
32,1.0516827559577093,1.815930867682563,0.4744888888888889,2.4585722366333007,0.381,15.718255400002818
33,1.0537346654044257,0.9967839572376676,0.6487777777777778,1.6743504726409912,0.4822,15.625392499990994
34,1.0484296267297533,1.02449968129264,0.6284,1.7143874147415161,0.474,15.755810600006953
35,1.0456324333005482,1.0007152136272854,0.6522,1.6629779035568237,0.493,15.421703900006833
36,1.0387156363063388,0.9382966544681125,0.6653777777777777,1.609699483680725,0.4902,15.419474000009359
37,1.0379105339023802,1.1479418301900228,0.6031333333333333,1.885279233932495,0.4528,15.494828199996846
38,1.0271572924349044,1.4583479637569852,0.5471111111111111,2.174349903869629,0.4238,15.790482099997462
39,1.0226465205139583,1.1927153186586168,0.6082,1.979893660926819,0.4516,15.790058299986413
40,1.0230301185766857,1.023853477965461,0.6389777777777778,1.773607299041748,0.4724,15.36567240000295
