epoch=001 train_loss=1.777843 train_acc=0.3650 val_loss=1.783926 val_acc=0.3582 seconds=16.354
epoch=002 train_loss=1.717121 train_acc=0.3906 val_loss=1.735526 val_acc=0.3882 seconds=18.795
epoch=003 train_loss=1.644362 train_acc=0.4167 val_loss=1.669101 val_acc=0.4052 seconds=48.685
epoch=004 train_loss=1.637769 train_acc=0.4164 val_loss=1.663561 val_acc=0.4084 seconds=70.757
epoch=005 train_loss=1.662109 train_acc=0.4089 val_loss=1.694185 val_acc=0.3926 seconds=84.631
epoch=006 train_loss=1.581613 train_acc=0.4374 val_loss=1.614734 val_acc=0.4272 seconds=96.745
epoch=007 train_loss=1.569207 train_acc=0.4450 val_loss=1.605025 val_acc=0.4404 seconds=114.286
epoch=008 train_loss=1.556030 train_acc=0.4433 val_loss=1.599241 val_acc=0.4248 seconds=125.873
epoch=009 train_loss=1.556435 train_acc=0.4431 val_loss=1.611155 val_acc=0.4284 seconds=149.869
epoch=010 train_loss=1.548003 train_acc=0.4513 val_loss=1.604258 val_acc=0.4340 seconds=96.419
epoch=011 train_loss=1.548802 train_acc=0.4460 val_loss=1.615441 val_acc=0.4230 seconds=67.460
epoch=012 train_loss=1.552451 train_acc=0.4405 val_loss=1.611849 val_acc=0.4164 seconds=83.862
epoch=013 train_loss=1.532478 train_acc=0.4512 val_loss=1.598223 val_acc=0.4344 seconds=88.618
epoch=014 train_loss=1.490474 train_acc=0.4690 val_loss=1.556125 val_acc=0.4518 seconds=92.314
epoch=015 train_loss=1.528789 train_acc=0.4517 val_loss=1.600613 val_acc=0.4274 seconds=95.855
epoch=016 train_loss=1.522688 train_acc=0.4531 val_loss=1.604602 val_acc=0.4224 seconds=98.913
epoch=017 train_loss=1.454160 train_acc=0.4839 val_loss=1.537001 val_acc=0.4544 seconds=102.527
epoch=018 train_loss=1.464384 train_acc=0.4788 val_loss=1.548222 val_acc=0.4562 seconds=103.779
epoch=019 train_loss=1.502977 train_acc=0.4607 val_loss=1.594946 val_acc=0.4282 seconds=104.895
epoch=020 train_loss=1.459190 train_acc=0.4813 val_loss=1.549067 val_acc=0.4516 seconds=104.992
epoch=021 train_loss=1.464934 train_acc=0.4792 val_loss=1.555386 val_acc=0.4484 seconds=104.705
epoch=022 train_loss=1.451869 train_acc=0.4831 val_loss=1.540935 val_acc=0.4498 seconds=103.319
epoch=023 train_loss=1.465606 train_acc=0.4804 val_loss=1.565921 val_acc=0.4408 seconds=105.083
epoch=024 train_loss=1.442689 train_acc=0.4876 val_loss=1.537445 val_acc=0.4560 seconds=106.066
epoch=025 train_loss=1.462608 train_acc=0.4880 val_loss=1.562767 val_acc=0.4648 seconds=103.223
epoch=026 train_loss=1.446173 train_acc=0.4883 val_loss=1.546472 val_acc=0.4638 seconds=103.696
epoch=027 train_loss=1.465759 train_acc=0.4829 val_loss=1.566540 val_acc=0.4570 seconds=106.371
epoch=028 train_loss=1.444748 train_acc=0.4822 val_loss=1.553584 val_acc=0.4518 seconds=107.534
epoch=029 train_loss=1.425093 train_acc=0.4883 val_loss=1.534240 val_acc=0.4572 seconds=107.155
epoch=030 train_loss=1.446241 train_acc=0.4808 val_loss=1.560764 val_acc=0.4470 seconds=107.102
epoch=031 train_loss=1.438749 train_acc=0.4857 val_loss=1.554379 val_acc=0.4474 seconds=107.280
epoch=032 train_loss=1.543305 train_acc=0.4576 val_loss=1.666345 val_acc=0.4288 seconds=106.141
epoch=033 train_loss=1.456527 train_acc=0.4780 val_loss=1.558349 val_acc=0.4570 seconds=105.503
epoch=034 train_loss=1.412289 train_acc=0.4956 val_loss=1.529167 val_acc=0.4518 seconds=105.584
epoch=035 train_loss=1.460098 train_acc=0.4769 val_loss=1.577882 val_acc=0.4386 seconds=105.084
epoch=036 train_loss=1.432490 train_acc=0.4889 val_loss=1.559652 val_acc=0.4546 seconds=106.210
epoch=037 train_loss=1.444164 train_acc=0.4835 val_loss=1.567120 val_acc=0.4468 seconds=104.953
epoch=038 train_loss=1.406531 train_acc=0.5010 val_loss=1.532284 val_acc=0.4584 seconds=109.164
epoch=039 train_loss=1.418438 train_acc=0.4928 val_loss=1.539795 val_acc=0.4556 seconds=107.275
epoch=040 train_loss=1.477703 train_acc=0.4722 val_loss=1.596655 val_acc=0.4298 seconds=106.466
