epoch,optimization_loss,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_seconds
1,1.9154245917845103,1.7778432343377006,0.3649777777777778,1.783926431274414,0.3582,37.20048860000679
2,1.765164915488329,1.7171209880616929,0.3906,1.7355256746292114,0.3882,37.685336800001096
3,1.706113432311846,1.644361753824022,0.4167111111111111,1.6691010162353515,0.4052,80.39203410000482
4,1.6793555829957127,1.637768601820204,0.41644444444444445,1.6635607206344605,0.4084,105.23929660000431
5,1.6446934410951204,1.6621086762110393,0.4089333333333333,1.694184568786621,0.3926,118.91633639999782
6,1.6225789223435851,1.5816134109708997,0.4374222222222222,1.6147339958190918,0.4272,141.21686699999555
7,1.6070414094146754,1.5692065018547905,0.44495555555555555,1.6050252794265747,0.4404,150.2305253000086
8,1.5842984504707986,1.5560298053105672,0.44326666666666664,1.5992412492752075,0.4248,172.9921772999951
9,1.5709533113340537,1.556435345056322,0.44308888888888887,1.611154542541504,0.4284,176.82506069999363
10,1.561211167320609,1.5480025183995565,0.4513111111111111,1.6042582654953004,0.434,198.61477580000064
11,1.552075038809081,1.5488018006218804,0.446,1.6154408674240113,0.423,219.53645909999614
12,1.5475668519318104,1.552451275147332,0.44051111111111113,1.611848645210266,0.4164,227.7332452999981
13,1.534502915843659,1.5324784151713053,0.4512,1.598223110961914,0.4344,233.41951350000454
14,1.5353974287291368,1.490474341922336,0.46897777777777777,1.5561254878997803,0.4518,234.58236650000617
15,1.526942366553015,1.5287889548831515,0.45168888888888886,1.6006125286102295,0.4274,248.92435750000004
16,1.520545045564572,1.5226882664998371,0.4530666666666667,1.6046019144058228,0.4224,258.87950119999005
17,1.511394521210591,1.4541598410076566,0.48386666666666667,1.5370007280349731,0.4544,249.61128309999185
18,1.507794454562664,1.4643835654152764,0.47875555555555555,1.548222010421753,0.4562,255.50115059998643
19,1.5079366632170148,1.5029771496242947,0.46073333333333333,1.594946445465088,0.4282,244.13164399999368
20,1.5014287102146282,1.459190458615621,0.48133333333333334,1.5490674087524414,0.4516,252.68885759999102
21,1.4975253786596987,1.464933525911967,0.4792222222222222,1.5553855581283569,0.4484,245.1656617000117
22,1.4959676023234925,1.4518693458345202,0.48306666666666664,1.5409351108551026,0.4498,241.80686150000838
23,1.4947902566989264,1.4656060274759928,0.48035555555555554,1.5659205291748046,0.4408,242.47294269999838
24,1.4913985475139486,1.4426892738978068,0.4875555555555556,1.5374451267242433,0.456,249.03831279999577
25,1.485024721053905,1.4626077261606851,0.48804444444444445,1.5627665311813355,0.4648,256.3003948999976
26,1.484559064595898,1.4461729062610202,0.48833333333333334,1.5464718955993653,0.4638,253.45527429999493
27,1.4902381023244726,1.4657586908340454,0.48286666666666667,1.5665402362823486,0.457,257.63206250000803
28,1.4793043279253775,1.4447480025609334,0.4822222222222222,1.5535843788146972,0.4518,250.45236550000845
29,1.4770002446803783,1.4250934378517999,0.48833333333333334,1.5342399917602538,0.4572,255.54924540000502
30,1.4765157836463716,1.4462410079744128,0.4808222222222222,1.5607640127182008,0.447,255.28588469998795
31,1.4749321531726254,1.438748804283142,0.48573333333333335,1.5543785665512084,0.4474,250.76675619999878
32,1.4691424492004845,1.543305428928799,0.4575777777777778,1.6663449346542358,0.4288,261.06239279999863
33,1.471832464030385,1.4565269982443916,0.478,1.5583490242004394,0.457,249.51302569999825
34,1.472486832496524,1.412289080895318,0.4955777777777778,1.5291668478012086,0.4518,251.59049499999674
35,1.4637525960256657,1.4600975235621134,0.47686666666666666,1.5778815645217896,0.4386,248.5637127999944
36,1.4676188835442066,1.432490320417616,0.48886666666666667,1.5596518188476562,0.4546,248.87528739999107
37,1.4602222608486812,1.4441644595675998,0.4834888888888889,1.5671203838348389,0.4468,243.3012921000045
38,1.4672047846012646,1.4065310148874919,0.501,1.5322835216522217,0.4584,251.14775799999188
39,1.4645614905569289,1.418438051117791,0.49277777777777776,1.539794638633728,0.4556,263.9757787999988
40,1.460228374420272,1.4777028851403131,0.47215555555555555,1.5966547969818115,0.4298,262.99452560000645
